YEAR,NAME,TEAM,ERA,W,WPCT,IP,SO,PAY
2006,류현진,한화,2.23,18,0.75,201.2 ,204,0.2
2007,류현진,한화,2.94,17,0.708,211.0 ,178,1
2008,류현진,한화,3.31,14,0.667,165.2 ,143,1.8
2009,류현진,한화,3.57,13,0.52,189.1 ,188,2.4
2010,류현진,한화,1.82,16,0.8,192.2 ,187,2.7
2011,류현진,한화,3.36,11,0.611,126.0 ,128,4
2012,류현진,한화,2.66,9,0.5,182.2 ,210,4.3
2013,류현진,LA 다져스,3,14,0.636,192.0 ,154,25
2014,류현진,LA 다져스,3.38,14,0.667,152.0 ,139,35
2015,류현진,LA 다져스,0,0,0,0.0 ,0,40
2016,류현진,LA 다져스,11.57,0,0,4.2 ,4,70
2017,류현진,LA 다져스,3.77,5,0.357,126.2 ,116,70
2018,류현진,LA 다져스,1.97,7,0.7,82.1 ,89,70
2019,류현진,LA 다져스,2.32,14,0.737,182.2 ,163,179
2007,김광현,SK,3.62,3,0.3,77.0 ,52,0.24
2008,김광현,SK,2.39,16,0.8,162.0 ,150,0.4
2009,김광현,SK,2.8,12,0.857,138.1 ,112,1.3
2010,김광현,SK,2.37,17,0.708,193.2 ,183,1.75
2011,김광현,SK,4.84,4,0.4,74.1 ,61,2.7
2012,김광현,SK,4.3,8,0.615,81.2 ,65,2.5
2013,김광현,SK,4.47,10,0.526,133.0 ,102,2.4
2014,김광현,SK,3.42,13,0.591,173.2 ,145,2.7
2015,김광현,SK,3.72,14,0.7,176.2 ,160,8.5
2016,김광현,SK,3.88,11,0.579,137.0 ,116,8.5
2018,김광현,SK,2.98,11,0.579,136.0 ,130,14
2019,김광현,SK,2.51,17,0.739,190.1 ,180,14
2007,양현종,KIA,4.17,1,0.333,49.2 ,48,0.24
2008,양현종,KIA,5.83,0,0,75.2 ,56,0.24
2009,양현종,KIA,3.15,12,0.706,148.2 ,139,0.35
2010,양현종,KIA,4.25,16,0.667,169.1 ,145,1
2011,양현종,KIA,6.18,7,0.438,106.1 ,74,1.7
2012,양현종,KIA,5.05,1,0.333,41.0 ,26,1.4
2013,양현종,KIA,3.1,9,0.75,104.2 ,95,0.9
2014,양현종,KIA,4.25,16,0.667,171.1 ,165,1.2
2015,양현종,KIA,2.44,15,0.714,184.1 ,157,7.5
2016,양현종,KIA,3.68,10,0.455,200.1 ,146,7.5
2017,양현종,KIA,3.44,20,0.769,193.1 ,158,15
2018,양현종,KIA,4.15,13,0.542,184.1 ,152,23
2019,양현종,KIA,2.29,16,0.667,184.2 ,163,23
